Artigiano;beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/Artigiano/data=!4m2!3m1!1s0x13503102cb35a3d9:0xdd7e35e0016cd601
Colonial Cocktails Academy Tirana;beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/Colonial+Cocktails+Academy+Tirana/data=!4m2!3m1!1s0x1350310315a9850d:0xb6654a7d8b37be20
A la santé;beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/A+la+sant%C3%A9/data=!4m2!3m1!1s0x135031024bdea21f:0xb10a15d8c5db7255
Bar Restaurant Marko;beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/Bar+Restaurant+Marko/data=!4m2!3m1!1s0x135b2940cdc63d2b:0x5482f859ada69ea6
Porto Palermo Beach;beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/Porto+Palermo+Beach/data=!4m2!3m1!1s0x135b251e9ad908d3:0xa6a797d425c7c707
Jale Beach;beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/Jale+Beach/data=!4m2!3m1!1s0x135b2ed0759c55bf:0x63861d350b49256c
Porto Novo;beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/Porto+Novo/data=!4m2!3m1!1s0x1345377e3fbf3d29:0x5c1b0b22b65e1199
KINO;beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/KINO/data=!4m2!3m1!1s0x1350312c1850c931:0xf73e5268578db059
Radio Bar Tirana;beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/Radio+Bar+Tirana/data=!4m2!3m1!1s0x1350310244d95d0d:0x323a369046ebc9f4
Restaurant Piceri Era "Blloku";beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/Restaurant+Piceri+Era+%22Blloku%22/data=!4m2!3m1!1s0x1350310244071c23:0x62d72413c32f54
Qofte Tradita Met Kodra;beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/Qofte+Tradita+Met+Kodra/data=!4m2!3m1!1s0x13503116cafaa805:0x62f9abace775a439
Oda - Traditional Albanian Cuisine;beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/Oda+-+Traditional+Albanian+Cuisine/data=!4m2!3m1!1s0x13503110e0596be1:0xcd7f349fa321941d
Mullixhiu;beide;;;;;via Google-lijst 'Albanie';https://www.google.com/maps/place/Mullixhiu/data=!4m2!3m1!1s0x135030fc9aaa4eb5:0xa7095a3dcf2c0399
De Zotte;beide;Amsterdam;Noord-Holland;;;via Google-lijst 'Amsterdam';https://www.google.com/maps/place/De+Zotte/data=!4m2!3m1!1s0x47c609e7e1a82aa5:0x13f99943354f0028
Cafe Cook;beide;Amsterdam;Noord-Holland;;;via Google-lijst 'Amsterdam';https://www.google.com/maps/place/Cafe+Cook/data=!4m2!3m1!1s0x47c5e26da97c598d:0xd583518516a2ee1d
Trakteren;beide;Amsterdam;Noord-Holland;;;via Google-lijst 'Amsterdam';https://www.google.com/maps/place/Trakteren/data=!4m2!3m1!1s0x47c5e209813d2975:0xabf8761de4c76a26
